                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9239,                 0.9605,                0.99678,                 2.5391,               0.070062,              0.0033264,              0.0033264
                      2,                0.24332,                0.99311,                0.99954,                  2.343,               0.039931,              0.0065279,              0.0065279
                      3,                0.08437,                0.99908,                      1,                 2.3298,              0.0096668,              0.0095973,              0.0095973
                      4,                0.05329,                0.99954,                      1,                 2.3244,               0.009406,               0.009406,               0.009406
                      5,                0.03403,                0.99816,                      1,                 2.3263,               0.009208,               0.009208,               0.009208
                      6,                0.02385,                      1,                      1,                 2.3228,                0.00901,                0.00901,                0.00901
                      7,                0.03155,                      1,                      1,                 2.3229,               0.008812,               0.008812,               0.008812
                      8,                0.02454,                      1,                      1,                 2.3232,               0.008614,               0.008614,               0.008614
                      9,                 0.0187,                0.99954,                      1,                 2.3231,               0.008416,               0.008416,               0.008416
                     10,                0.01682,                      1,                      1,                 2.3226,               0.008218,               0.008218,               0.008218
                     11,                0.01526,                      1,                      1,                 2.3228,                0.00802,                0.00802,                0.00802
                     12,                0.01408,                      1,                      1,                 2.3227,               0.007822,               0.007822,               0.007822
                     13,                0.00962,                      1,                      1,                 2.3224,               0.007624,               0.007624,               0.007624
                     14,                0.00916,                      1,                      1,                 2.3224,               0.007426,               0.007426,               0.007426
                     15,                0.00963,                      1,                      1,                 2.3224,               0.007228,               0.007228,               0.007228
                     16,                0.01004,                      1,                      1,                 2.3224,                0.00703,                0.00703,                0.00703
                     17,                0.00908,                      1,                      1,                 2.3224,               0.006832,               0.006832,               0.006832
                     18,                0.00814,                      1,                      1,                 2.3225,               0.006634,               0.006634,               0.006634
                     19,                0.00871,                      1,                      1,                 2.3229,               0.006436,               0.006436,               0.006436
                     20,                0.00647,                      1,                      1,                 2.3225,               0.006238,               0.006238,               0.006238
                     21,                0.00877,                      1,                      1,                 2.3226,                0.00604,                0.00604,                0.00604
                     22,                0.01082,                      1,                      1,                 2.3225,               0.005842,               0.005842,               0.005842
                     23,                0.00668,                      1,                      1,                 2.3223,               0.005644,               0.005644,               0.005644
                     24,                0.00767,                      1,                      1,                 2.3223,               0.005446,               0.005446,               0.005446
                     25,                0.00971,                      1,                      1,                 2.3223,               0.005248,               0.005248,               0.005248
                     26,                0.01012,                      1,                      1,                 2.3226,                0.00505,                0.00505,                0.00505
                     27,                0.00834,                      1,                      1,                 2.3224,               0.004852,               0.004852,               0.004852
                     28,                0.00578,                      1,                      1,                 2.3223,               0.004654,               0.004654,               0.004654
                     29,                0.00746,                      1,                      1,                 2.3223,               0.004456,               0.004456,               0.004456
                     30,                0.00572,                      1,                      1,                 2.3224,               0.004258,               0.004258,               0.004258
                     31,                0.00726,                      1,                      1,                 2.3223,                0.00406,                0.00406,                0.00406
                     32,                0.00565,                      1,                      1,                 2.3223,               0.003862,               0.003862,               0.003862
                     33,                0.00651,                      1,                      1,                 2.3223,               0.003664,               0.003664,               0.003664
                     34,                0.00428,                      1,                      1,                 2.3224,               0.003466,               0.003466,               0.003466
                     35,                0.00528,                      1,                      1,                 2.3224,               0.003268,               0.003268,               0.003268
                     36,                0.00515,                      1,                      1,                 2.3223,                0.00307,                0.00307,                0.00307
                     37,                0.00265,                      1,                      1,                 2.3223,               0.002872,               0.002872,               0.002872
                     38,                0.00234,                      1,                      1,                 2.3223,               0.002674,               0.002674,               0.002674
                     39,                0.00402,                      1,                      1,                 2.3223,               0.002476,               0.002476,               0.002476
                     40,                0.00425,                      1,                      1,                 2.3223,               0.002278,               0.002278,               0.002278
                     41,                0.00376,                      1,                      1,                 2.3223,                0.00208,                0.00208,                0.00208
                     42,                 0.0052,                      1,                      1,                 2.3223,               0.001882,               0.001882,               0.001882
                     43,                0.00265,                      1,                      1,                 2.3223,               0.001684,               0.001684,               0.001684
                     44,                0.00303,                      1,                      1,                 2.3223,               0.001486,               0.001486,               0.001486
                     45,                0.00262,                      1,                      1,                 2.3223,               0.001288,               0.001288,               0.001288
                     46,                0.00424,                      1,                      1,                 2.3223,                0.00109,                0.00109,                0.00109
                     47,                 0.0037,                      1,                      1,                 2.3223,               0.000892,               0.000892,               0.000892
                     48,                0.00434,                      1,                      1,                 2.3223,               0.000694,               0.000694,               0.000694
                     49,                0.00188,                      1,                      1,                 2.3223,               0.000496,               0.000496,               0.000496
                     50,                0.00343,                      1,                      1,                 2.3223,               0.000298,               0.000298,               0.000298
